instrument,kod ISIN,Pakiet,Pakiet_PLN,udzial_pct_portf,udzial_pct_obr,punkty bazowe,Symbol,Kapitalizacja (mln),Warto�� ksi�gowa (mln),Zysk na akcj� (ttm),Stopa dyw. (%)
RONSON ,NL0006106007 ,55 661 000,46 309 952,15,"0,01 ",212,RON,134.16,343.48,0.0824,7.2
ROPCZYCE ,PLROPCE00017 ,1 195 000,46 485 500,15,"0,00 ",112,RPC,242.25,248.14,3.1885,2
SANOK ,PLSTLSK00016 ,23 914 000,698 288 800,226,"0,02 ",95,SNK,779.58,451.44,2.3934,10.3
SANPL ,PLBZ00000044 ,33 108 000,13 196 848 800,4267,"2,37 ",13,SPL,40263.63,25104.03,23.7262,0.8
SANTANDER ,ES0113900J37 ,607 000,11 533 000,4,"0,00 ",14,SAN,300376.62,414250.77,2.1348,1.5
SECOGROUP ,PLWRWCK00013 ,4 552 000,70 556 000,23,"0,00 ",0,SWG,157.57,165.65,,
SEKO ,PLSEKO000014 ,2 494 000,21 947 200,7,"0,00 ",0,SEK,58.52,68.14,1.3538,5.1
SELENAFM ,PLSELNA00010 ,5 021 000,56 235 200,18,"0,00 ",141,SEL,255.74,434.62,0.8058,2.7
SELVITA ,PLSELVT00013 ,9 016 000,494 978 400,160,"0,00 ",101,SLV,868.83,204.7,0.6451,
SERINUS ,JE00BF4N9R98 ,77 947 000,50 275 815,16,"0,03 ",102,SEN,136.48,59,,
SFINKS ,PLSFNKS00011 ,23 972 000,22 773 400,7,"0,00 ",146,SFS,29.23,3.84,,
SILVAIR-REGS ,USU827061099 ,7 180 000,104 397 200,34,"0,00 ",0,SVRS,166.06,44.01,,
SILVANO ,EE3100001751 ,1 956 000,21 418 200,7,"0,00 ",46,SFG,392.4,117.92,1.2882,19.6
SIMPLE ,PLSIMPL00011 ,2 060 000,13 802 000,4,"0,00 ",458,SME,32.96,16.69,0.8481,3.3
SKARBIEC ,PLSKRBH00014 ,3 041 000,51 849 050,17,"0,01 ",210,SKH,115.97,106.19,2.6641,26.1
SKYLINE ,PLSKLNW00011 ,6 368 000,4 330 240,1,"0,00 ",154,SKL,15.86,29.36,,
SLEEPZAG ,DE000A2E3772 ,479 000,1 475 320,0,"0,00 ",444,SLZ,57.49,26.17,,
SNIEZKA ,PLSNZKA00033 ,4 208 000,361 888 000,117,"0,00 ",159,SKA,1104.06,261.69,5,2.6
SOHODEV ,PLNFI0400015 ,18 427 000,20 730 375,7,"0,00 ",209,SHD,38.02,50.59,,
SOLAR ,PLSLRCP00021 ,12 010 000,7 542 280,2,"0,00 ",0,SOL,17.76,89.98,,
SONEL ,PLSONEL00011 ,4 781 000,33 467 000,11,"0,00 ",0,SON,98,77.33,0.3167,1.4
SOPHARMA ,BG11SOSOBT18 ,11 000,91 300,0,"0,00 ",0,SPH,1118.82,1047.77,0.4798,3.9
STALEXP ,PLSTLEX00019 ,95 938 000,384 711 380,124,"0,03 ",27,STX,991.52,805.31,0.7291,7.2
STALPROD ,PLSTLPD00017 ,1 810 000,582 820 000,188,"0,02 ",43,STP,1782.9,2598.59,49.5385,0.9
STALPROFI ,PLSTLPF00012 ,7 716 000,72 530 400,23,"0,00 ",212,STF,161,280.64,1.541,1.9
STELMET ,PLSTLMT00010 ,5 550 000,50 283 000,16,"0,00 ",0,STL,265.45,455.98,0.1478,
SUNEX ,PLSUNEX00013 ,1 003 000,5 095 240,2,"0,00 ",188,SNX,20.25,23.86,0.4792,
SUWARY ,PLSUWAR00014 ,576 000,6 220 800,2,"0,00 ",467,SUW,49.84,70.75,1.0693,
SYGNITY ,PLCMPLD00016 ,11 886 000,36 252 300,12,"0,00 ",164,SGN,70.89,60.75,,
SYNEKTIK ,PLSNKTK00019 ,3 595 000,48 712 250,16,"0,01 ",117,SNT,115.14,77.98,2.0224,
TALANX ,DE000TLX1005 ,76 000,11 400 000,4,"0,00 ",0,TNX,37919.65,37413.62,11.9048,
TALEX ,PLTALEX00017 ,532 000,7 448 000,2,"0,00 ",0,TLX,42,50.51,1.75,8.6
TARCZYNSKI ,PLTRCZN00016 ,3 587 000,60 620 300,20,"0,00 ",106,TAR,191.76,173.07,1.7979,
TATRY ,SK1120010287 ,30 000,4 050 000,1,"0,00 ",74,TMR,905.47,527.83,4.8561,
TAURONPE ,PLTAURN00011 ,1 043 590 000,2 172 754 380,703,"0,94 ",15,TPE,3767.98,18967.64,0.5949,
TBULL ,PLTBULL00024 ,341 000,10 775 600,3,"0,00 ",214,TBL,35.32,15.42,3.3617,
TESGAS ,PLTSGS000019 ,4 993 000,18 673 820,6,"0,00 ",382,TSG,41.09,68.41,0.129,
TIM ,PLTIM0000016 ,14 099 000,98 129 040,32,"0,01 ",167,TIM,155.39,174.52,0.4579,14.4
TORPOL ,PLTORPL00016 ,14 241 000,96 838 800,31,"0,12 ",82,TOR,158.03,201.81,0.8293,
TOWERINVT ,PLTWRNV00013 ,623 000,13 643 700,4,"0,00 ",278,TOW,34.18,64.03,7.3,
TOYA ,PLTOYA000011 ,25 352 000,184 562 560,60,"0,00 ",243,TOA,547.81,175.84,0.5824,6.5
